DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,English,MS English Core,85,3,28.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,Math,MS Math Core,85,3,28.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,Science,MS Science Core,85,3,28.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,Gen Ed,Social Studies,MS Social Studies Core,85,3,28.3
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,English,MS English Core,86,3,28.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,Math,MS Math Core,86,3,28.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,Science,MS Science Core,86,3,28.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,ICT,Social Studies,MS Social Studies Core,86,3,28.7
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SC,English,MS English Core,6,1,6
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SC,Math,MS Math Core,6,1,6
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SC,Science,MS Science Core,6,1,6
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SC,Social Studies,MS Social Studies Core,6,1,6
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,English,MS English Core,97,4,24.3
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,English,MS English Other,14,1,14
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,Math,MS Math Core,97,4,24.3
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,Science,MS Science Core,107,4,26.8
01M140,P.S. 140 NATHAN STRAUS,MS Core,Gen Ed,Social Studies,MS Social Studies Core,118,4,29.5
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,English,MS English Core,63,2,31.5
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,Math,MS Math Core,63,2,31.5
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,Science,MS Science Core,63,2,31.5
01M140,P.S. 140 NATHAN STRAUS,MS Core,ICT,Social Studies,MS Social Studies Core,52,2,26
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,English,MS English Core,19,3,6.3
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,Math,MS Math Core,19,3,6.3
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,Science,MS Science Core,19,3,6.3
01M140,P.S. 140 NATHAN STRAUS,MS Core,SC,Social Studies,MS Social Studies Core,19,3,6.3
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,English,MS English Core,108,4,27
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,Math,MS Math Core,84,3,28
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,Science,MS Science Core,108,4,27
01M184,P.S. 184M SHUANG WEN,MS Core,Gen Ed,Social Studies,MS Social Studies Core,108,4,27
01M184,P.S. 184M SHUANG WEN,MS Core,Accelerated,Math,MS Integrated Algebra,26,1,26
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,English,MS English Core,109,4,27.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,Math,MS Math Core,81,3,27
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,Science,MS Science Core,109,4,27.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT,Social Studies,MS Social Studies Core,109,4,27.3
01M184,P.S. 184M SHUANG WEN,MS Core,ICT & Acc,Math,MS Integrated Algebra,26,1,26
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Math,MS Math Core,85,3,28.3
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Science,MS Science Core,60,2,30
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,ICT,Math,MS Math Core,80,3,26.7
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,ICT,Science,MS Science Core,54,2,27
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,SC,Math,MS Math Core,7,1,7
01M188,P.S. 188 THE ISLAND SCHOOL,MS Core,SC,Science,MS Science Core,13,2,6.5
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 09,35,2,17.5
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 10,14,1,14
