DBN,School Name,School Pupil-Teacher Ratio
15K001,P.S. 001 THE BERGEN,13.4
12X691,BRONX LITTLE SCHOOL,12
11X567,LINDEN TREE ELEMENTARY SCHOOL,16.9
09X555,MOUNT EDEN CHILDREN'S ACADEMY,18.1
12X536,PS 536,14.8
12X531,ARCHER ELEMENTARY SCHOOL,13.7
11X483,P.S. 483,14.3
11X481,P.S. 481,14.1
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,13.8
12X458,SAMARA COMMUNITY SCHOOL,19
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,14.9
09X449,GRANT AVENUE ELEMENTARY SCHOOL,12.8
09X443,THE FAMILY SCHOOL,11.3
10X396,P.S. 396,6
08X392,BRONX DELTA SCHOOL,13.1
10X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,14.1
07X385,PERFORMANCE SCHOOL,7.4
10X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",14.1
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,9.8
10X360,P.S. 360,14
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,9.8
11X357,YOUNG VOICES ACADEMY OF THE BRONX,13.6
10X344,AMPARK NEIGHBORHOOD,18.5
10X340,P.S. 340,12.3
08X335,THE ACADEMY OF THE ARTS,13
08X333,P.S. 333 - THE MUSEUM SCHOOL,14.1
12X314,FAIRMONT NEIGHBORHOOD SCHOOL,10.3
09X311,LUCERO ELEMENTARY SCHOOL,13.1
10X310,P.S. 310 MARBLE HILL,14.5
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,13.5
10X306,P.S. 306,13.5
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,15.6
12X300,THE SCHOOL OF SCIENCE AND APPLIED LEARNING,12.9
09X294,THE WALTON AVENUE SCHOOL,12.9
10X291,P.S. 291,15.2
07X277,P.S. 277,12.3
09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,17.3
10X246,P.S. 246 POE CENTER,13.1
09X236,P.S. 236 LANGSTON HUGHES,12.1
09X230,P.S. 230 DR ROLAND N. PATTERSON,7.4
10X226,P.S. 226,15.6
10X209,P.S. 209,11.3
10X207,P.S. 207,13.6
10X205,P.S. 205 FIORELLO LAGUARDIA,14.5
09X204,P.S. 204 MORRIS HEIGHTS,15.9
09X199,P.S. 199X - THE SHAKESPEARE SCHOOL,15.1
12X196,P.S. 196,14.5
12X195,P.S. 195,15.5
11X189,CORNERSTONE ACADEMY FOR SOCIAL ACTION,12.7
08X182,P.S. 182,15.6
07X179,P.S. 179,12.4
11X178,P.S. 178 - DR. SELMAN WAKSMAN,13
09X170,P.S. 170,14.4
11X169,BAYCHESTER ACADEMY,17.6
09X163,P.S. 163 ARTHUR A. SCHOMBURG,13.3
07X161,P.S. 161 PONCE DE LEON,13.9
11X160,P.S. 160 WALT DISNEY,11.5
10X159,P.S. 159 LUIS MUNOZ MARIN BILING,11.8
07X157,P.S. 157 GROVE HILL,12.7
07X154,P.S. 154 JONATHAN D. HYATT,11.3
11X153,P.S. 153 HELEN KELLER,15.5
08X152,P.S. 152 EVERGREEN,13.9
12X150,P.S. 150 CHARLES JAMES FOX,15.4
08X146,P.S. 146 EDWARD COLLINS,13.4
08X140,P.S. X140 THE EAGLE SCHOOL,15
08X138,P.S. 138 SAMUEL RANDALL,15.7
12X134,P.S. 134 GEORGE F. BRISTOW,17.5
09X132,P.S. 132 GARRET A. MORGAN,11.6
08X130,P.S. 130 ABRAM STEVENS HEWITT,12.9
09X126,P.S. 126 DR MARJORIE H DUNBAR,14.9
11X121,P.S. 121 THROOP,15.6
08X119,P.S. 119,15
09X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,15.4
11X112,P.S. 112 BRONXWOOD,15.7
