2009-2013 ACS Demographic Profile,,,NYC Census FactFinder,,
Selected Neighborhood: Hunters Point-Sunnyside-West Maspeth,,,,,
"Demographic Estimates
(Grayed values denote less reliable estimates*)",Number,,,Percent,
,Estimate,MOE,CV*,Estimate,MOE
SEX AND AGE,,,,,
Total population,"61,565","1,906",1.9,100.0%,
Male,"30,425","1,274",2.5,49.4%,1.4%
Female,"31,140","1,208",2.4,50.6%,1.2%
,,,,,
Under 5 years,"3,260",525,9.8,5.3%,0.8%
5 to 9 years,"2,652",378,8.7,4.3%,0.6%
10 to 14 years,"2,241",393,10.7,3.6%,0.6%
15 to 19 years,"2,441",391,9.7,4.0%,0.6%
20 to 24 years,"4,370",547,7.6,7.1%,0.9%
25 to 34 years,"15,410",966,3.8,25.0%,1.4%
35 to 44 years,"11,496",809,4.3,18.7%,1.2%
45 to 54 years,"7,802",680,5.3,12.7%,1.0%
55 to 59 years,"3,149",387,7.5,5.1%,0.6%
60 to 64 years,"2,795",351,7.6,4.5%,0.6%
65 to 74 years,"3,626",386,6.5,5.9%,0.6%
75 to 84 years,"1,724",295,10.4,2.8%,0.5%
85 years and over,599,161,16.3,1.0%,0.3%
,,,,,
Median age (years),35.3,0.7,1.1,,
,,,,,
18 years and over,"51,955","1,451",1.7,100.0%,
Male,"25,858","1,061",2.5,49.8%,1.5%
Female,"26,097",959,2.2,50.2%,1.2%
,,,,,
65 years and over,"5,949",498,5.1,100.0%,
Male,"2,528",317,7.6,42.5%,4.0%
Female,"3,421",350,6.2,57.5%,3.4%
,,,,,
MUTUALLY EXCLUSIVE RACE/HISPANIC ORIGIN,,,,,
Total population,"61,565","1,906",1.9,100.0%,
Hispanic or Latino (of any race),"20,575","1,646",4.9,33.4%,2.5%
Mexican,"3,695",834,13.7,6.0%,1.3%
Puerto Rican,"2,834",633,13.6,4.6%,1.0%
Cuban,829,394,28.9,1.3%,0.6%
Other Hispanic or Latino,"13,217","1,433",6.6,21.5%,2.2%
Not Hispanic or Latino,"40,990","1,569",2.3,66.6%,1.5%
White alone,"22,570","1,206",3.2,36.7%,1.6%
Black or African American alone,"1,083",247,13.9,1.8%,0.4%
American Indian and Alaska Native alone,28,31,68.2,0.0%,
Asian alone,"15,866","1,352",5.2,25.8%,2.0%
Native Hawaiian and Other Pacific Islander alone,0,,,0.0%,
Some other race alone,218,159,44.4,0.4%,0.3%
Two or more races,"1,225",321,16.0,2.0%,0.5%
,,,,,
ASIAN ALONE BY SELECTED SUBGROUPS,,,,,
Asian Alone,"15,976","1,354",5.2,100.0%,
Asian Indian,"2,600",613,14.3,16.3%,3.6%
Chinese,"4,649",800,10.5,29.1%,4.4%
Filipino,"1,469",629,26.0,9.2%,3.9%
Japanese,764,246,19.6,4.8%,1.5%
Korean,"2,476",516,12.7,15.5%,3.0%
Vietnamese,0,,,0.0%,
Other Asian,"4,018",921,13.9,25.2%,5.4%
,,,,,
"*Data associated with estimates of zero, top- and bottom-coded estimates, or Coefficients of Variation (CVs) of 20% or more are grayed out to signify poor statistical reliability.
Sources: US Census Bureau, American Community Survey; Population Division — New York City Department of City Planning",,,,,
"For more information, see the ",User Guide,,,,
