2009-2013 ACS Housing Profile,,,NYC Census FactFinder,,
Selected Neighborhood: Middle Village,,,,,
"Selected Housing Characteristics
(Grayed values denote less reliable estimates*)",Number,,,Percent,
,Estimate,MOE,CV*,Estimate,MOE
HOUSING OCCUPANCY,,,,,
Total housing units,"16,116",175,0.7,100.0%,
Occupied housing units,"14,961",264,1.1,92.8%,1.3%
Vacant housing units,"1,155",229,12.0,7.2%,1.4%
,,,,,
Homeowner vacancy rate,0.2,0.3,99.2,,
Rental vacancy rate,3.0,1.0,32.8,,
,,,,,
UNITS IN STRUCTURE,,,,,
Total housing units,"16,116",175,0.7,100.0%,
"1-unit, detached","1,633",215,8.0,10.1%,1.3%
"1-unit, attached","4,648",275,3.6,28.8%,1.7%
2 units,"5,356",343,3.9,33.2%,2.1%
3 or 4 units,"2,335",267,7.0,14.5%,1.7%
5 to 9 units,263,103,23.7,1.6%,0.6%
10 to 19 units,477,131,16.7,3.0%,0.8%
20 or more units,"1,404",145,6.3,8.7%,0.9%
Mobile home,0,,,0.0%,
"Boat, RV, van, etc.",0,,,0.0%,
,,,,,
YEAR STRUCTURE BUILT,,,,,
Total housing units,"16,116",175,0.7,100.0%,
Built 2010 or later,24,27,68.2,0.1%,0.2%
Built 2000 to 2009,358,116,19.7,2.2%,0.7%
Built 1990 to 1999,257,111,26.3,1.6%,0.7%
Built 1980 to 1989,547,137,15.3,3.4%,0.9%
Built 1970 to 1979,829,171,12.5,5.1%,1.1%
Built 1960 to 1969,"2,555",268,6.4,15.9%,1.7%
Built 1950 to 1959,"3,456",317,5.6,21.4%,2.0%
Built 1940 to 1949,"2,821",275,5.9,17.5%,1.7%
Built 1939 or earlier,"5,269",317,3.7,32.7%,1.9%
,,,,,
ROOMS,,,,,
Total housing units,"16,116",175,0.7,100.0%,
1 room,516,158,18.6,3.2%,1.0%
2 room,307,110,21.7,1.9%,0.7%
3 room,"1,747",240,8.4,10.8%,1.5%
4 room,"3,032",319,6.4,18.8%,2.0%
5 room,"4,393",350,4.8,27.3%,2.2%
6 room,"3,421",310,5.5,21.2%,1.9%
7 room,993,156,9.5,6.2%,1.0%
8 room,686,143,12.7,4.3%,0.9%
9 rooms or more,"1,021",161,9.6,6.3%,1.0%
Median rooms,5.1,0.1,1.6,,
,,,,,
HOUSING TENURE,,,,,
Occupied housing units,"14,961",264,1.1,100.0%,
Owner-occupied,"8,849",356,2.4,59.1%,2.1%
Renter-occupied,"6,112",366,3.6,40.9%,2.3%
,,,,,
Average household size of owner-occupied unit,2.8,0.1,2.1,,
Average household size of renter-occupied unit,2.3,0.1,1.5,,
,,,,,
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,
Occupied housing units,"14,961",264,1.1,100.0%,
Moved in 2010 or later,"1,802",278,9.4,12.0%,1.8%
Moved in 2000 to 2009,"5,685",367,3.9,38.0%,2.4%
Moved in 1990 to 1999,"2,687",278,6.3,18.0%,1.8%
Moved in 1980 to 1989,"1,677",226,8.2,11.2%,1.5%
Moved in 1970 to 1979,"1,402",192,8.3,9.4%,1.3%
Moved in 1969 or earlier,"1,708",209,7.4,11.4%,1.4%
,,,,,
VEHICLES AVAILABLE,,,,,
Occupied housing units,"14,961",264,1.1,100.0%,
No vehicles available,"3,585",317,5.4,24.0%,2.1%
1 vehicle available,"6,655",397,3.6,44.5%,2.5%
2 vehicles available,"3,519",310,5.4,23.5%,2.0%
3 or more vehicles available,"1,202",189,9.6,8.0%,1.3%
,,,,,
OCCUPANTS PER ROOM,,,,,
